"values","array"
6375.3,"C:"
6386.12,"C:"
6394.12,"C:"
6405.12,"C:"
6440.12,"C:"
6468.12,"C:"
6475.51,"C:"
6480.12,"C:"
6481.12,"C:"
6523.12,"C:"
6528.12,"C:"
6554.12,"C:"
6560.12,"C:"
6562.12,"C:"
6590.12,"C:"
6591.12,"C:"
6633.12,"C:"
6635.12,"C:"
6685.12,"C:"
6703.12,"C:"
6704.12,"C:"
6711.12,"C:"
6712.12,"C:"
6715.12,"C:"
6716.12,"C:"
6722.12,"C:"
6738.12,"C:"
6739.12,"C:"
6739.12,"C:"
6747.12,"C:"
6751.12,"C:"
6765.12,"C:"
6789.12,"C:"
6794.12,"C:"
6804.12,"C:"
6807.12,"C:"
6810.12,"C:"
6817.12,"C:"
6818.12,"C:"
6838.11,"C:"
6865.12,"C:"
6879.12,"C:"
6880.12,"C:"
6907.12,"C:"
6913.12,"C:"
6915.12,"C:"
6922.12,"C:"
6928.12,"C:"
6930.12,"C:"
6939.12,"C:"
6945.12,"C:"
6952.12,"C:"
6974.12,"C:"
6980.12,"C:"
6989.12,"C:"
6991.12,"C:"
6992.12,"C:"
7012.12,"C:"
7014.12,"C:"
7016.12,"C:"
7018.12,"C:"
7026.12,"C:"
7037.12,"C:"
7039.12,"C:"
7057.12,"C:"
7059.12,"C:"
7061.12,"C:"
7063.12,"C:"
7136.12,"C:"
7138.12,"C:"
7140.12,"C:"
7153.12,"C:"
7236.11,"C:"
7236.21,"C:"
7239.12,"C:"
7266.12,"C:"
7280.12,"C:"
7286.12,"C:"
7286.31,"C:"
7287.12,"C:"
7289.12,"C:"
7293.12,"C:"
7299.12,"C:"
7349.12,"C:"
7366.12,"C:"
7386.5,"C:"
7387.12,"C:"
7424.12,"C:"
7427.12,"C:"
7428.12,"C:"
7436.12,"C:"
7466.12,"C:"
7468.12,"C:"
7476.12,"C:"
7479.12,"C:"
7482.12,"C:"
7485.12,"C:"
7559.12,"C:"
7570.12,"C:"
7570.12,"C:"
7571.12,"C:"
7574.12,"C:"
7576.12,"C:"
7577.12,"C:"
7584.12,"C:"
7596.12,"C:"
7639.12,"C:"
7706.12,"C:"
7722.12,"C:"
7756.12,"C:"
7788.1,"C:"
7798.1,"C:"
7820.1,"C:"
7824.1,"C:"
7833.12,"C:"
7843.12,"C:"
7848.12,"C:"
7942.1,"C:"
7954.1,"C:"
7960.1,"C:"
7966.1,"C:"
7967.1,"C:"
7973.12,"C:"
7975.12,"C:"
